;Unnamed: 0;word;weight;company;type;weight_01;cat;index
197;197;boring;-0,168458781;google;cons;0,047;0;347
78;78;bit;-0,365591398;google;cons;0,102;0;144
5;5;big;-1,102150538;google;cons;0,399;0;19
272;272;big;-1,102150538;google;pros;0,049918167;1;161
95;95;better;-0,071684588;google;cons;0,0865;0;172
300;300;better;-0,071684588;google;pros;0,036279324;1;233
67;67;best;0,306028834;google;cons;0,111;0;27
216;216;best;0,306028834;google;pros;0,187943262;1;129
147;147;benefits;0,897771953;google;cons;0,0605;0;8
205;205;benefits;0,897771953;google;pros;0,406710311;1;261
127;127;becoming;-0,247311828;google;cons;0,069;0;223
99;99;become;-0,297491039;google;cons;0,083;0;179
163;163;based;-0,200716846;google;cons;0,056;0;288
28;28;balance;0,06225426;google;cons;0,195;0;42
223;223;balance;0,06225426;google;pros;0,132296781;1;61
47;47;bad;-0,517921147;google;cons;0,1445;0;93
234;234;awesome;0,23197903;google;pros;0,096563011;1;69
258;258;atmosphere;0,149410223;google;pros;0,062193126;1;122
125;125;around;0,044560944;google;cons;0,0705;0;141
263;263;around;0,044560944;google;pros;0,057010366;1;220
190;190;arent;-0,173835125;google;cons;0,0485;0;334
142;142;anything;-0,222222222;google;cons;0,062;0;253
214;214;amazing;0,496068152;google;pros;0,206492089;1;24
86;86;always;-0,041218638;google;cons;0,094;0;156
280;280;always;-0,041218638;google;pros;0,045008183;1;184
44;44;also;-0,0609319;google;cons;0,1475;0;87
247;247;also;-0,0609319;google;pros;0,071194763;1;103
176;176;actually;-0,184587814;google;cons;0,0515;0;315
330;330;access;0,070773263;google;pros;0,029459902;1;300
367;367;ability;0,05570118;google;pros;0,023186034;1;368
