;Unnamed: 0;word;weight;company;type;weight_01;cat;index
153;153;communication;-0,207375271;amazon;cons;0,042398439;0;265
144;144;come;-0,21691974;amazon;cons;0,044349831;0;246
332;332;colleagues;0,11869871;amazon;pros;0,033809166;1;327
350;350;code;0,104923798;amazon;pros;0,029885633;1;351
308;308;co;0,141559203;amazon;pros;0,040320561;1;261
103;103;change;-0,139262473;amazon;cons;0,057743481;0;178
372;372;change;-0,139262473;amazon;pros;0,027548209;1;373
262;262;challenging;0,221570926;amazon;pros;0,063110443;1;157
393;393;challenges;0,082649472;amazon;pros;0,023541197;1;394
86;86;career;0,132473623;amazon;cons;0,070161433;0;69
233;233;career;0,132473623;amazon;pros;0,103764922;1;144
82;82;care;-0,231670282;amazon;cons;0,071846727;0;139
396;396;care;-0,231670282;amazon;pros;0,023040321;1;397
125;125;cant;-0,24164859;amazon;cons;0,049405712;0;212
94;94;call;-0,317136659;amazon;cons;0,064839454;0;159
113;113;business;0,035169988;amazon;cons;0,0526876;0;164
266;266;business;0,035169988;amazon;pros;0,059604308;1;196
83;83;breaks;-0,350542299;amazon;cons;0,071669328;0;140
100;100;break;-0,295878525;amazon;cons;0,06049317;0;172
383;383;brand;0,089097304;amazon;pros;0,025377744;1;384
367;367;bonus;0,097889801;amazon;pros;0,027882127;1;368
171;171;bit;-0,189587852;amazon;cons;0,038761753;0;290
121;121;big;0,004982415;amazon;cons;0,050204009;0;201
283;283;big;0,004982415;amazon;pros;0,048668503;1;207
78;78;better;-0,134490239;amazon;cons;0,076015611;0;135
287;287;better;-0,134490239;amazon;pros;0,045663244;1;220
123;123;best;0,278429074;amazon;cons;0,049494412;0;54
224;224;best;0,278429074;amazon;pros;0,125886969;1;210
89;89;benefits;1;amazon;cons;0,06829874;0;8
205;205;benefits;1;amazon;pros;0,349110944;1;151
145;145;based;-0,216052061;amazon;cons;0,044172432;0;249
10;10;balance;-0,91626898;amazon;cons;0,244899769;0;20
274;274;balance;-0,91626898;amazon;pros;0,054178145;1;179
32;32;bad;-0,607809111;amazon;cons;0,124268228;0;61
88;88;back;-0,334490239;amazon;cons;0,06838744;0;150
394;394;aws;0,082063306;amazon;pros;0,023374238;1;395
